,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Linear SVC,0.8145586835305318,0.8101779745847543,0.7753246753246753,0.8463157894736841,0.7892475658855845,experiment_wavelet_none_for_reduction
Ridge Classifier,0.8099143206854345,0.8071053532028365,0.7675666438824335,0.8442105263157895,0.7826866492573321,experiment_wavelet_none_for_reduction
MLP Classifier,0.8087243302053583,0.7966169632836299,0.7832194121667806,0.8294736842105263,0.7851603987656919,experiment_wavelet_none_for_reduction
Linear Discriminant Analysis,0.7994220046239631,0.7835338862568919,0.7700615174299384,0.8231578947368421,0.7734598235325192,experiment_wavelet_none_for_reduction
Logistic Regression,0.799422004623963,0.8015449691318756,0.7466848940533151,0.8421052631578947,0.7676150128505979,experiment_wavelet_none_for_reduction
NuSVC,0.7994016047871617,0.8117870960024026,0.7309637730690363,0.8547368421052631,0.7620037109069367,experiment_wavelet_none_for_reduction
Passive Aggressive,0.786515707874337,0.7699422901779458,0.8064251537935748,0.7705263157894736,0.771905206350677,experiment_wavelet_none_for_reduction
SVC,0.783108935128519,0.7961767030188083,0.6996924128503077,0.8505263157894737,0.7383615014561761,experiment_wavelet_none_for_reduction
XGBoost,0.778376172990616,0.7720168867341861,0.7360902255639097,0.8126315789473685,0.7453408029878619,experiment_wavelet_none_for_reduction
Extra Trees,0.7691350469196248,0.7815931559504047,0.697265892002734,0.8273684210526315,0.7235179065795384,experiment_wavelet_none_for_reduction
Random Forest,0.7585679314565483,0.7633650024384726,0.6969924812030075,0.8084210526315789,0.7178175915625754,experiment_wavelet_none_for_reduction
Gradient Boosting,0.7585271317829456,0.7485747418688318,0.7255297334244702,0.7852631578947369,0.7301693063909761,experiment_wavelet_none_for_reduction
Perceptron,0.7551951584387325,0.7274291725168289,0.7820574162679426,0.7326315789473684,0.7310247921501007,experiment_wavelet_none_for_reduction
AdaBoost,0.7527267781857747,0.737453969591956,0.7203007518796991,0.7789473684210526,0.7232680578478268,experiment_wavelet_none_for_reduction
SGD Classifier,0.744607643138855,0.8688373415202684,0.5005809979494189,0.9410526315789476,0.6203677589095982,experiment_wavelet_none_for_reduction
Voting,0.7434788521691826,0.8330509184072575,0.5454887218045112,0.9031578947368419,0.6517947182219048,experiment_wavelet_none_for_reduction
Bagging,0.7306065551475589,0.7426748553335518,0.6289131920710869,0.8126315789473685,0.6727733538049327,experiment_wavelet_none_for_reduction
K-Neighbors,0.7294981640146879,0.7193930508594237,0.6818523581681476,0.7684210526315789,0.687758346581876,experiment_wavelet_none_for_reduction
Decision Tree,0.6864273085815313,0.6564925819817412,0.6393711551606289,0.7242105263157894,0.6436543490254885,experiment_wavelet_none_for_reduction
Bernoulli NB,0.6829253365973071,0.7120064225637998,0.49354066985645934,0.8357894736842105,0.5780960183424173,experiment_wavelet_none_for_reduction
Quadratic Discriminant Analysis,0.6723786209710323,0.6843769390761414,0.6242652084757347,0.711578947368421,0.6073761994370581,experiment_wavelet_none_for_reduction
Gaussian NB,0.661859105127159,0.6546529977312038,0.5220437457279562,0.7747368421052632,0.5764898649527453,experiment_wavelet_none_for_reduction
